"","LAT_REL","LONG_REL","LAT_REC","LONG_REC","TAG_NUMBER","PROGRAM","RELDT","RECDT","DAL","INDEX","REC_YEAR","REL_AREA","REC_AREA","REL_MONTH","REC_MONTH","REL_YEAR","DISTANCE","SPEED","COUNT","REC_REGION","REL_REGION","BEARING","dir.binned"
"101",58.67566667,-176.845,58.78333333,-177.1166667,5396,"RACE","8/1/1986","5/31/1987",303,310,1987,521,521,8,5,1986,19.7855149602073,0.0652987292416081,1,"EBS","EBS",307.361902833159,"300"
"102",58.67566667,-176.845,56.62,-171.59,5399,"RACE","8/1/1986","2/14/1987",197,311,1987,521,521,8,2,1986,388.250780946066,1.97081614693434,1,"EBS","EBS",126.176199136423,"120"
"103",59.00666667,-173.1016667,59.825,-178.7116667,6063,"RACE","7/20/1987","6/24/1991",1435,350,1991,521,521,7,6,1987,331.213106730655,0.230810527338436,1,"EBS","EBS",285.998100212213,"300"
"104",59.98983333,-177.9316667,58.5,-175.3666667,6200,"RACE","7/28/1987","2/22/1992",1670,355,1992,521,521,7,2,1987,221.261510681988,0.132491922564065,1,"EBS","EBS",138.64434971984,"150"
"105",59.69233333,-177.1716667,59.13333333,-177.6166667,6214,"RACE","7/28/1987","11/10/1987",105,356,1987,521,521,7,11,1987,67.2052001199283,0.640049524951698,1,"EBS","EBS",202.051169522647,"210"
"106",59.66916667,-176.5866667,59.33333333,-176.3666667,6219,"RACE","7/28/1987","12/22/1987",147,357,1987,521,521,7,12,1987,39.4334214824787,0.268254567908018,1,"EBS","EBS",161.609779313254,"150"
"107",59.66916667,-176.5866667,59.74333333,-176.6511667,6222,"RACE","7/28/1987","5/9/1988",286,358,1988,521,521,7,5,1987,9.02530604339053,0.0315570141377291,1,"EBS","EBS",336.313568686336,"330"
"108",59.05666667,-174.38,57.73333333,-174.1666667,8225,"RACE","7/29/1987","4/14/1991",1355,362,1991,521,521,7,4,1987,147.925732327378,0.109170282160427,1,"EBS","EBS",175.171604906301,"180"
"109",59.64666667,-173.1733333,58.81666667,-174.85,8553,"RACE","7/13/1988","8/17/1991",1130,366,1991,521,521,7,8,1988,133.075824427844,0.117766216307827,1,"EBS","EBS",225.939612567425,"240"
"110",51.6325,-178.4666667,59.28333333,-177,9317,"RACE","6/16/1986","12/5/1991",1998,260,1991,542,521,6,12,1986,856.761376250219,0.428809497622732,1,"EBS","AI",6.17952281189218,"0"
"111",57.98,-164.6083333,57.67666667,-173.595,5050,"RACE","6/15/1986","5/6/1991",1786,255,1991,509,521,6,5,1986,534.618905580436,0.299338692934175,1,"EBS","EBS",266.3727182259,"270"
"112",55.515775,-163.4788083,56.25,-170.1166667,3686,"FIT","2/10/2003","3/28/2003",46,2090,2003,509,521,2,3,2003,423.195865965858,9.19991012969257,1,"EBS","EBS",281.156477733212,"270"
"113",55.51234833,-163.46581,57.43333334,-170.8833333,3874,"FIT","2/10/2003","9/9/2003",211,2108,2003,509,521,2,9,2003,504.3499781117,2.39028425645356,1,"EBS","EBS",295.126826111463,"300"
"114",55.49101,-163.5491283,57.05,-170.85,4349,"FIT","2/11/2003","2/14/2005",734,2271,2005,509,521,2,2,2003,484.200894261193,0.659674242862661,1,"EBS","EBS",291.037918362133,"300"
"115",55.48759333,-163.535675,57.40000001,-172.6333333,4570,"FIT","2/11/2003","1/27/2004",350,2272,2004,509,521,2,1,2003,599.581675461181,1.71309050131766,1,"EBS","EBS",290.826355261774,"300"
"116",55.52551833,-163.4407617,58.17166667,-174.0833333,4139,"FIT","2/11/2003","8/5/2004",541,2277,2004,509,521,2,8,2003,712.104221804689,1.31627397745783,1,"EBS","EBS",294.460811319373,"300"
"117",55.529625,-163.4506717,58.94999999,-174.8833333,4275,"FIT","2/11/2003","7/31/2005",901,2278,2005,509,521,2,7,2003,786.978954114767,0.873450559505846,1,"EBS","EBS",298.958288827378,"300"
"118",55.486565,-163.5182617,59.75,-172.85,4106,"FIT","2/11/2003","8/31/2003",201,2279,2003,509,521,2,8,2003,731.264989416333,3.63813427570315,1,"EBS","EBS",310.5059817323,"300"
"119",55.53514,-163.45661,59.78333336,-172.4666667,4419,"FIT","2/11/2003","8/30/2003",200,2280,2003,509,521,2,8,2003,715.243286426976,3.57621643213488,1,"EBS","EBS",311.431205839727,"300"
"120",55.538975,-163.450135,59.88333333,-173.4833333,4401,"FIT","2/11/2003","9/27/2003",228,2281,2003,509,521,2,9,2003,767.89768375545,3.36797229717302,1,"EBS","EBS",309.067729873067,"300"
"121",55.67333333,-162.82,58.71666667,-172.75,1097,"RACE","9/30/1982","9/15/1984",716,74,1984,516,521,9,9,1982,688.403280153545,0.961457095186515,1,"EBS","EBS",299.51306850237,"300"
"122",56.47666667,-169.9683333,57.76,-170.3133333,1417,"RACE","7/6/1983","10/9/1983",95,97,1983,517,521,7,10,1983,144.434121606589,1.5203591748062,1,"EBS","EBS",351.697300660805,"0"
"123",56.04666667,-165.8333333,57.5,-173.2,9626,"RACE","6/22/1989","4/11/1991",658,372,1991,517,521,6,4,1989,478.304119614397,0.726905956860785,1,"EBS","EBS",289.803696694514,"300"
"124",54.58333333,-165.1833333,56.71666664,-171.5666667,30,"FIT","4/15/2002","1/30/2003",290,810,2003,517,521,4,1,2002,466.537367638218,1.60874954358006,1,"EBS","EBS",300.645950793206,"300"
"125",54.58333333,-165.1833333,57.3,-172.6341667,84,"FIT","4/15/2002","3/14/2003",333,811,2003,517,521,4,3,2002,554.740642321649,1.66588781477973,1,"EBS","EBS",303.079386840129,"300"
"126",54.58333333,-165.1833333,57.81666666,-173.4,23,"FIT","4/15/2002","2/21/2003",312,812,2003,517,521,4,2,2002,623.604492843008,1.99873234885579,1,"EBS","EBS",305.294202966702,"300"
