YEAR,OBS_GEAR_CODE,FMP_GEAR,FMP_SUBAREA,MONTH,NHAUL,NVES,MCPUEW,MCPUEN,sdCPUEW,sdCPUEN
2017,1,TRW,BS,7,3,1,14.86488928,3.827659992,5.584436507,0.732213934
2017,1,TRW,BS,8,2,2,15.85097475,4.641414141,14.01473498,3.414111529
2017,1,TRW,BS,9,15,4,5.457495019,1.258561051,3.953739009,0.815744017
2017,1,TRW,BS,10,11,2,19.67627845,3.438637249,13.77220604,1.707542271
2018,1,TRW,BS,1,231,29,57.61599014,13.11891859,84.62538027,18.88437952
2018,1,TRW,BS,2,875,44,68.05637403,14.81683024,64.90160516,14.57285823
2018,1,TRW,BS,3,64,9,264.6480018,87.30123943,421.1859,143.898271
2018,1,TRW,BS,4,216,22,227.1996464,74.92845375,383.594984,144.4596252
2018,1,TRW,BS,6,10,2,14.57126126,2.412875766,11.70703844,1.819623597
2018,1,TRW,BS,7,32,1,13.30667087,3.27983118,7.756400032,1.590144665
2018,1,TRW,BS,8,14,1,13.25757064,3.529223679,5.1042308,1.794308264
2018,1,TRW,BS,11,1,1,11.61833333,2.066666667,NA,NA
2019,1,TRW,BS,1,313,34,55.83864698,10.39626428,40.08033702,8.750399137
2019,1,TRW,BS,2,407,38,72.86006428,14.29622955,59.95123128,11.70070487
2019,1,TRW,BS,3,69,11,164.4071402,35.04752167,176.0350548,37.04653798
2019,1,TRW,BS,4,96,23,258.2273436,74.28642496,489.7610442,151.6833441
2019,1,TRW,BS,5,4,3,7.723946462,2.174492945,5.968069672,1.57773377
2019,1,TRW,BS,7,8,2,23.5512605,6.588563016,13.8637378,4.095906048
2019,1,TRW,BS,8,17,2,15.38643914,3.849422712,7.925753424,1.795188354
2019,1,TRW,BS,9,122,3,15.03859707,2.746679344,14.74720168,2.108463431
2019,1,TRW,BS,10,1,1,5.306333333,0.725,NA,NA
2019,1,TRW,BS,11,5,1,20.95575282,3.799837889,5.603942382,1.215516043
2020,1,TRW,BS,1,130,32,28.41094233,4.068783811,21.76049119,2.991015682
2020,1,TRW,BS,2,425,40,193.3709286,28.04572506,145.243299,22.14069528
2020,1,TRW,BS,3,47,3,65.11869986,24.6876459,57.18066593,24.63781819
2020,1,TRW,BS,4,11,5,29.34116067,7.592963551,30.68584208,6.510743483
2020,1,TRW,BS,5,15,4,18.19959918,5.560078516,17.21782955,5.981902822
2020,1,TRW,BS,8,7,2,6.848950964,1.342877408,4.474755541,0.985667597
2020,1,TRW,BS,9,2,1,11.53629487,2.314519223,4.660237723,1.201639472
2020,1,TRW,BS,10,2,1,12.03942363,2.12108336,8.02848577,0.959668682
2021,1,TRW,BS,2,210,25,190.808862,29.40986155,159.2223342,24.25336586
2021,1,TRW,BS,3,82,10,116.2793414,19.62628652,116.2946573,20.55845462
2021,1,TRW,BS,4,47,8,81.09458504,16.34844268,60.62805477,16.59935028
2021,1,TRW,BS,6,4,2,7.652933278,2.544241435,7.670981936,2.01112799
1996,6,POT,BS,3,134,3,71.8341673,26.90270149,27.04719602,12.45376178
1996,6,POT,BS,4,162,2,57.5664875,19.11864831,21.35354102,8.87609935
1996,6,POT,BS,5,108,2,55.3636598,11.28760965,19.86813323,4.435671885
1996,6,POT,BS,6,142,2,69.66708199,13.24051166,25.9006137,3.726131725
1996,6,POT,BS,7,278,3,45.86126124,14.30431844,23.91254468,7.497067184
1996,6,POT,BS,8,246,4,47.44981057,12.01200642,21.59488493,6.476561814
1996,6,POT,BS,9,14,3,39.87272841,10.97761381,15.56650432,3.479500029
1996,6,POT,BS,10,304,6,44.55019447,10.73546731,19.66467837,4.762454551
1996,6,POT,BS,11,18,1,56.94077751,9.800315581,16.03031191,2.434562712
1996,6,POT,BS,12,14,1,4.709534459,0.994321413,2.737825707,0.448898479
1997,6,POT,BS,3,44,6,82.36964536,26.9533799,30.61037788,8.967062319
1997,6,POT,BS,4,960,23,96.09805347,28.53600054,42.52167673,11.97748501
1997,6,POT,BS,5,792,26,52.72073339,14.73191787,27.05785573,7.525776633
1997,6,POT,BS,6,433,13,49.15262333,11.44684599,27.93954337,5.091109144
1997,6,POT,BS,7,210,5,40.50436752,9.663728772,24.67145239,5.257781796
1997,6,POT,BS,8,78,5,53.27912732,13.15671534,22.94830925,4.670009046
1997,6,POT,BS,9,140,8,29.28822248,8.142467364,22.07720163,5.963311371
1997,6,POT,BS,10,362,12,54.11407683,10.88201415,23.46441667,4.357493495
1997,6,POT,BS,11,45,6,37.89483634,8.31218018,27.70434198,5.520841827
1997,6,POT,BS,12,78,4,42.13862903,9.634801559,21.73212161,3.270735059
1998,6,POT,BS,4,443,18,77.58916567,21.75067996,37.90214104,9.017331096
1998,6,POT,BS,5,649,24,52.665786,15.34517962,31.65523571,8.648609375
1998,6,POT,BS,6,260,11,45.1453346,12.09629536,23.4934112,6.009134513
1998,6,POT,BS,7,144,5,53.25553439,11.88256211,26.96986877,5.228261894
1998,6,POT,BS,8,42,3,36.53659732,10.31279389,13.07179424,4.145708504
1998,6,POT,BS,9,42,3,31.35275501,8.525187006,12.00309468,3.57499224
1998,6,POT,BS,10,164,13,28.59370031,6.354510141,16.77382996,2.926998644
1998,6,POT,BS,11,12,2,31.95861111,11.86827778,21.48757869,7.560889297
1998,6,POT,BS,12,14,4,50.84192041,11.34777551,39.71967188,7.548765751
1999,6,POT,BS,3,4,1,24.64898026,5.525970395,5.895012133,0.808689204
1999,6,POT,BS,4,436,23,67.99785968,18.98826923,43.25304683,10.02587278
1999,6,POT,BS,5,998,40,47.97804217,14.25566775,21.81177322,6.020462871
1999,6,POT,BS,6,108,6,37.54829218,11.62561897,19.46660584,6.79188564
1999,6,POT,BS,9,116,5,33.0403344,9.790302568,16.90770674,5.118183829
1999,6,POT,BS,10,256,13,39.58628624,10.04535941,19.2973023,6.488152013
2000,6,POT,BS,1,4,1,42.36541667,13.14833333,0.343042285,2.057291459
2000,6,POT,BS,2,594,30,57.45741126,15.0963257,27.5123261,6.547808112
2000,6,POT,BS,3,763,41,45.82033217,13.16579794,21.72060116,6.569485345
2000,6,POT,BS,9,22,1,66.4281324,25.14903457,11.30672739,5.148943561
2001,6,POT,BS,2,16,2,83.70803074,23.41870058,13.66289759,4.271733235
2001,6,POT,BS,3,864,42,64.81564731,19.06849663,31.80783857,9.848678948
2001,6,POT,BS,4,82,1,111.5494894,31.54449813,30.27390364,7.558995476
2001,6,POT,BS,5,38,1,93.58572132,29.09261475,18.42756135,4.527384693
2001,6,POT,BS,9,436,15,44.39248447,13.31313043,30.39209731,10.53598988
2001,6,POT,BS,10,142,8,52.18005238,18.79553785,36.06245435,13.57908573
2001,6,POT,BS,11,22,3,32.42226795,11.44240146,30.71651009,10.93355311
2001,6,POT,BS,12,30,2,47.23612229,11.55408006,24.93189954,5.49303649
2002,6,POT,BS,2,76,8,85.80670452,22.83635059,34.38621247,9.318717564
2002,6,POT,BS,3,703,41,65.97840702,17.25504099,26.52228225,6.372826871
2002,6,POT,BS,5,2,1,5.15,1.285714286,0,0
2002,6,POT,BS,9,324,16,43.23934038,13.2257574,22.23584123,7.695051089
2002,6,POT,BS,10,119,10,41.87095444,11.22225213,14.11128256,3.775728048
2002,6,POT,BS,11,93,4,48.50797446,14.97482322,22.42883394,5.374287525
2002,6,POT,BS,12,5,1,106.9315929,28.44320774,17.13127959,6.700713323
2003,6,POT,BS,2,684,39,74.93703668,18.60543327,29.14594837,6.71693137
2003,6,POT,BS,3,186,29,69.89235761,16.73074702,22.09631598,4.613242927
2003,6,POT,BS,9,494,17,57.33639658,16.59167566,21.93388548,6.397358892
2003,6,POT,BS,10,54,8,62.5301001,17.46914345,28.31175322,6.418269631
2003,6,POT,BS,11,152,13,60.63699565,14.49062593,35.98092294,6.322824358
2003,6,POT,BS,12,4,1,13.73825676,3.919369369,5.063658338,1.715926611
2004,6,POT,BS,1,36,6,62.23458385,15.79271352,26.63429963,5.924448958
2004,6,POT,BS,2,542,44,80.03176092,21.88396489,31.07175024,8.107356367
2004,6,POT,BS,3,102,3,72.34104094,23.75373995,27.37141426,6.088742333
2004,6,POT,BS,9,318,16,48.91624802,11.5162341,18.92222181,4.68198618
2004,6,POT,BS,10,60,9,40.34133809,10.46087624,18.69362727,4.554153864
2004,6,POT,BS,11,87,4,67.55027444,18.8853591,27.38120859,9.807234979
2005,6,POT,BS,1,46,5,110.6526791,23.79174163,21.89522813,4.578537394
2005,6,POT,BS,2,532,34,82.19282305,20.81652458,32.09514643,8.378788984
2005,6,POT,BS,3,20,1,150.504342,33.76710512,14.88316084,3.303345307
2005,6,POT,BS,4,32,1,87.86822941,23.12646784,23.61547562,7.249727546
2005,6,POT,BS,9,194,14,52.143527,13.31542741,27.30850239,7.624313047
2005,6,POT,BS,10,260,15,40.26528936,10.43962394,24.32024196,7.00596514
2005,6,POT,BS,11,10,1,68.74519143,20.62830295,14.44742349,2.809418244
2006,6,POT,BS,1,532,28,85.14257271,20.45525746,37.98496421,10.04252112
